STARTIME,Start Time,TRIPTIME,Mode_Group,Mode,Mode2,STOPS,Number of Stops
570,1900-01-00 9:30,10,Vehicle Driver,Car,Car,1,1
570,1900-01-00 9:30,10,Vehicle Driver,Car,Car,1,1
765,1900-01-00 12:45,15,Vehicle Driver,Car,Car,1,1
870,1900-01-00 14:30,15,Vehicle Driver,Car,Car,1,1
765,1900-01-00 12:45,15,Vehicle Passenger,Car,Car,1,1
870,1900-01-00 14:30,15,Vehicle Passenger,Car,Car,1,1
1110,1900-01-00 18:30,50,Vehicle Driver,Car,Car,1,1
1320,1900-01-00 22:00,45,Vehicle Driver,Car,Car,1,1
1080,1900-01-00 18:00,35,Bus,Bus,PT,3,3+
1230,1900-01-00 20:30,30,Vehicle Passenger,Car,Car,1,1
1110,1900-01-00 18:30,5,Vehicle Driver,Car,Car,1,1
1320,1900-01-00 22:00,5,Vehicle Driver,Car,Car,1,1
1110,1900-01-00 18:30,5,Vehicle Passenger,Car,Car,1,1
1320,1900-01-00 22:00,5,Vehicle Passenger,Car,Car,1,1
1110,1900-01-00 18:30,5,Vehicle Passenger,Car,Car,1,1
1320,1900-01-00 22:00,5,Vehicle Passenger,Car,Car,1,1
1050,1900-01-00 17:30,10,Vehicle Passenger,Car,Car,1,1
1170,1900-01-00 19:30,10,Vehicle Driver,Car,Car,1,1
600,1900-01-00 10:00,40,Vehicle Passenger,Car,Car,1,1
900,1900-01-00 15:00,40,Vehicle Passenger,Car,Car,1,1
690,1900-01-00 11:30,10,Walking,Walking,Walking,1,1
750,1900-01-00 12:30,10,Walking,Walking,Walking,1,1
465,1900-01-00 7:45,5,Vehicle Driver,Car,Car,1,1
825,1900-01-00 13:45,5,Vehicle Driver,Car,Car,1,1
795,1900-01-00 13:15,5,Walking,Walking,Walking,1,1
465,1900-01-00 7:45,5,Vehicle Passenger,Car,Car,1,1
900,1900-01-00 15:00,5,Vehicle Driver,Car,Car,1,1
907,1900-01-00 15:07,38,Vehicle Driver,Car,Car,1,1
555,1900-01-00 9:15,20,Vehicle Passenger,Car,Car,1,1
900,1900-01-00 15:00,20,Vehicle Passenger,Car,Car,1,1
960,1900-01-00 16:00,20,Vehicle Driver,Car,Car,1,1
740,1900-01-00 12:20,10,Vehicle Driver,Car,Car,1,1
1010,1900-01-00 16:50,20,Vehicle Driver,Car,Car,1,1
1225,1900-01-00 20:25,10,Vehicle Driver,Car,Car,1,1
1105,1900-01-00 18:25,5,Walking,Walking,Walking,1,1
1265,1900-01-00 21:05,5,Vehicle Driver,Car,Car,1,1
1295,1900-01-00 21:35,10,Vehicle Driver,Car,Car,1,1
690,1900-01-00 11:30,60,Train,Train,PT,3,3+
820,1900-01-00 13:40,50,Train,Train,PT,3,3+
630,1900-01-00 10:30,30,Walking,Walking,Walking,1,1
750,1900-01-00 12:30,30,Walking,Walking,Walking,1,1
915,1900-01-00 15:15,10,Walking,Walking,Walking,1,1
1355,1900-01-00 22:35,25,Vehicle Passenger,Car,Car,1,1
682,1900-01-00 11:22,1,Walking,Walking,Walking,1,1
1030,1900-01-00 17:10,65,Train,Train,PT,4,3+
810,1900-01-00 13:30,30,Vehicle Driver,Car,Car,1,1
945,1900-01-00 15:45,30,Vehicle Driver,Car,Car,1,1
480,1900-01-00 8:00,15,Walking,Walking,Walking,1,1
500,1900-01-00 8:20,15,Walking,Walking,Walking,1,1
480,1900-01-00 8:00,15,Walking,Walking,Walking,1,1
1080,1900-01-00 18:00,15,Vehicle Driver,Car,Car,1,1
1140,1900-01-00 19:00,30,Walking,Walking,Walking,1,1
1290,1900-01-00 21:30,20,Vehicle Driver,Car,Car,1,1
1200,1900-01-00 20:00,20,Vehicle Driver,Car,Car,1,1
1225,1900-01-00 20:25,5,Vehicle Driver,Car,Car,1,1
1200,1900-01-00 20:00,20,Vehicle Passenger,Car,Car,1,1
1225,1900-01-00 20:25,5,Vehicle Passenger,Car,Car,1,1
1067,1900-01-00 17:47,63,Vehicle Driver,Car,Car,1,1
1260,1900-01-00 21:00,30,Vehicle Driver,Car,Car,1,1
1067,1900-01-00 17:47,63,Vehicle Passenger,Car,Car,1,1
1260,1900-01-00 21:00,30,Vehicle Passenger,Car,Car,1,1
1067,1900-01-00 17:47,63,Vehicle Passenger,Car,Car,1,1
1260,1900-01-00 21:00,30,Vehicle Passenger,Car,Car,1,1
1067,1900-01-00 17:47,63,Vehicle Passenger,Car,Car,1,1
1260,1900-01-00 21:00,30,Vehicle Passenger,Car,Car,1,1
555,1900-01-00 9:15,5,Walking,Walking,Walking,1,1
1140,1900-01-00 19:00,5,Vehicle Passenger,Car,Car,1,1
1200,1900-01-00 20:00,5,Vehicle Passenger,Car,Car,1,1
1140,1900-01-00 19:00,5,Vehicle Driver,Car,Car,1,1
1200,1900-01-00 20:00,5,Vehicle Driver,Car,Car,1,1
1140,1900-01-00 19:00,5,Vehicle Passenger,Car,Car,1,1
1200,1900-01-00 20:00,5,Vehicle Passenger,Car,Car,1,1
455,1900-01-00 7:35,7,Vehicle Driver,Car,Car,1,1
455,1900-01-00 7:35,7,Vehicle Passenger,Car,Car,1,1
455,1900-01-00 7:35,7,Vehicle Passenger,Car,Car,1,1
1230,1900-01-00 20:30,5,Vehicle Driver,Car,Car,1,1
1305,1900-01-00 21:45,15,Vehicle Driver,Car,Car,1,1
1070,1900-01-00 17:50,10,Walking,Walking,Walking,1,1
1170,1900-01-00 19:30,15,Walking,Walking,Walking,1,1
555,1900-01-00 9:15,30,Walking,Walking,Walking,1,1
1160,1900-01-00 19:20,10,Vehicle Driver,Car,Car,1,1
615,1900-01-00 10:15,15,Vehicle Driver,Car,Car,1,1
750,1900-01-00 12:30,30,Vehicle Driver,Car,Car,1,1
1140,1900-01-00 19:00,25,Vehicle Driver,Car,Car,1,1
1225,1900-01-00 20:25,35,Vehicle Driver,Car,Car,1,1
615,1900-01-00 10:15,15,Vehicle Passenger,Car,Car,1,1
750,1900-01-00 12:30,30,Vehicle Passenger,Car,Car,1,1
1140,1900-01-00 19:00,25,Vehicle Passenger,Car,Car,1,1
1225,1900-01-00 20:25,35,Vehicle Passenger,Car,Car,1,1
615,1900-01-00 10:15,15,Vehicle Passenger,Car,Car,1,1
750,1900-01-00 12:30,30,Vehicle Passenger,Car,Car,1,1
1140,1900-01-00 19:00,25,Vehicle Passenger,Car,Car,1,1
1225,1900-01-00 20:25,35,Vehicle Passenger,Car,Car,1,1
670,1900-01-00 11:10,60,Tram,Tram,PT,3,3+
845,1900-01-00 14:05,15,Vehicle Passenger,Car,Car,1,1
920,1900-01-00 15:20,20,Walking,Walking,Walking,1,1
1335,1900-01-00 22:15,15,Walking,Walking,Walking,1,1
1405,1900-01-00 23:25,50,Train,Train,PT,3,3+
1623,1900-01-01 3:03,16,Walking,Walking,Walking,1,1
720,1900-01-00 12:00,10,Walking,Walking,Walking,1,1
610,1900-01-00 10:10,12,Vehicle Driver,Car,Car,1,1
655,1900-01-00 10:55,25,Walking,Walking,Walking,1,1
840,1900-01-00 14:00,20,Walking,Walking,Walking,1,1
900,1900-01-00 15:00,20,Walking,Walking,Walking,1,1
810,1900-01-00 13:30,10,Walking,Walking,Walking,1,1
865,1900-01-00 14:25,10,Walking,Walking,Walking,1,1
750,1900-01-00 12:30,5,Walking,Walking,Walking,1,1
780,1900-01-00 13:00,15,Vehicle Driver,Car,Car,1,1
930,1900-01-00 15:30,10,Vehicle Driver,Car,Car,1,1
1350,1900-01-00 22:30,15,Walking,Walking,Walking,1,1
420,1900-01-00 7:00,25,Vehicle Driver,Car,Car,1,1
715,1900-01-00 11:55,10,Vehicle Passenger,Car,Car,1,1
1015,1900-01-00 16:55,2,Walking,Walking,Walking,1,1
1015,1900-01-00 16:55,2,Walking,Walking,Walking,1,1
980,1900-01-00 16:20,10,Vehicle Driver,Car,Car,1,1
1000,1900-01-00 16:40,20,Vehicle Driver,Car,Car,1,1
1110,1900-01-00 18:30,5,Vehicle Driver,Car,Car,1,1
1330,1900-01-00 22:10,10,Vehicle Driver,Car,Car,1,1
980,1900-01-00 16:20,10,Vehicle Passenger,Car,Car,1,1
1330,1900-01-00 22:10,10,Vehicle Passenger,Car,Car,1,1
980,1900-01-00 16:20,10,Vehicle Passenger,Car,Car,1,1
1000,1900-01-00 16:40,20,Vehicle Passenger,Car,Car,1,1
1110,1900-01-00 18:30,5,Vehicle Passenger,Car,Car,1,1
1330,1900-01-00 22:10,10,Vehicle Passenger,Car,Car,1,1
705,1900-01-00 11:45,20,Vehicle Driver,Car,Car,1,1
725,1900-01-00 12:05,15,Walking,Walking,Walking,1,1
620,1900-01-00 10:20,25,Vehicle Driver,Car,Car,1,1
740,1900-01-00 12:20,30,Vehicle Driver,Car,Car,1,1
785,1900-01-00 13:05,25,Walking,Walking,Walking,2,2
840,1900-01-00 14:00,30,Vehicle Driver,Car,Car,1,1
510,1900-01-00 8:30,7,Vehicle Driver,Car,Car,1,1
330,1900-01-00 5:30,5,Vehicle Driver,Car,Car,1,1
645,1900-01-00 10:45,15,Walking,Walking,Walking,1,1
720,1900-01-00 12:00,10,Vehicle Driver,Car,Car,1,1
990,1900-01-00 16:30,30,Vehicle Driver,Car,Car,1,1
1350,1900-01-00 22:30,30,Vehicle Driver,Car,Car,1,1
1060,1900-01-00 17:40,35,Vehicle Driver,Car,Car,1,1
1350,1900-01-00 22:30,30,Vehicle Driver,Car,Car,1,1
990,1900-01-00 16:30,30,Vehicle Passenger,Car,Car,1,1
1350,1900-01-00 22:30,30,Vehicle Passenger,Car,Car,1,1
990,1900-01-00 16:30,30,Vehicle Passenger,Car,Car,1,1
1350,1900-01-00 22:30,30,Vehicle Passenger,Car,Car,1,1
990,1900-01-00 16:30,30,Vehicle Passenger,Car,Car,1,1
1350,1900-01-00 22:30,30,Vehicle Passenger,Car,Car,1,1
990,1900-01-00 16:30,30,Vehicle Passenger,Car,Car,1,1
1350,1900-01-00 22:30,30,Vehicle Passenger,Car,Car,1,1
990,1900-01-00 16:30,30,Vehicle Passenger,Car,Car,1,1
1350,1900-01-00 22:30,30,Vehicle Passenger,Car,Car,1,1
780,1900-01-00 13:00,5,Bicycle,Bicycle,Bicycle,1,1
860,1900-01-00 14:20,40,Vehicle Driver,Car,Car,1,1
960,1900-01-00 16:00,20,Vehicle Driver,Car,Car,1,1
1070,1900-01-00 17:50,45,Vehicle Driver,Car,Car,1,1
1041,1900-01-00 17:21,39,Vehicle Driver,Car,Car,1,1
816,1900-01-00 13:36,25,Vehicle Passenger,Car,Car,1,1
816,1900-01-00 13:36,25,Vehicle Passenger,Car,Car,1,1
816,1900-01-00 13:36,25,Vehicle Passenger,Car,Car,1,1
816,1900-01-00 13:36,25,Vehicle Passenger,Car,Car,1,1
630,1900-01-00 10:30,15,Vehicle Driver,Car,Car,1,1
460,1900-01-00 7:40,20,Vehicle Driver,Car,Car,1,1
945,1900-01-00 15:45,10,Vehicle Driver,Car,Car,1,1
990,1900-01-00 16:30,90,Train,Train,PT,5,3+
1290,1900-01-00 21:30,100,Train,Train,PT,3,3+
825,1900-01-00 13:45,25,Vehicle Passenger,Car,Car,1,1
900,1900-01-00 15:00,10,Vehicle Passenger,Car,Car,1,1
825,1900-01-00 13:45,25,Vehicle Passenger,Car,Car,1,1
900,1900-01-00 15:00,10,Vehicle Passenger,Car,Car,1,1
825,1900-01-00 13:45,25,Vehicle Driver,Car,Car,1,1
900,1900-01-00 15:00,10,Vehicle Driver,Car,Car,1,1
600,1900-01-00 10:00,5,Vehicle Driver,Car,Car,1,1
610,1900-01-00 10:10,20,Vehicle Driver,Car,Car,1,1
690,1900-01-00 11:30,5,Vehicle Driver,Car,Car,1,1
